Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 17, 2024",468,471.25,462,463,463,"78,400",9,24,09/15/2024
"May 16, 2024",473,476,466.5,467.75,467.75,"55,014",9,24,09/15/2024
"May 15, 2024",478,483.75,472.5,473.25,473.25,"53,692",9,24,09/15/2024
"May 14, 2024",480.75,484.5,477.5,478,478,"108,174",9,24,09/15/2024
"May 13, 2024",477.75,484,474.75,481.75,481.75,"102,974",9,24,09/15/2024
"May 10, 2024",467.5,480,467.5,480,480,"78,273",9,24,09/15/2024
"May 09, 2024",467.25,472,464.5,467,467,"58,981",9,24,09/15/2024
"May 08, 2024",476,476.25,467.25,468.5,468.5,"86,164",9,24,09/15/2024
"May 07, 2024",476.5,479.75,474.5,476.5,476.5,"82,819",9,24,09/15/2024
"May 06, 2024",467,477.75,463.5,476.75,476.75,"64,230",9,24,09/15/2024
"May 03, 2024",467,474.5,466,469.25,469.25,"81,071",9,24,09/15/2024
"May 02, 2024",459.5,467.75,458,467,467,"53,616",9,24,09/15/2024
"May 01, 2024",455.75,460,452,459,459,"44,023",9,24,09/15/2024
"Apr 30, 2024",458,459.5,453.5,455.75,455.75,"35,495",9,24,09/15/2024
"Apr 29, 2024",459,460.25,455,458.5,458.5,"24,179",9,24,09/15/2024
"Apr 26, 2024",461.5,463.25,458.75,459,459,"32,994",9,24,09/15/2024
"Apr 25, 2024",458,462.75,456.5,461.75,461.75,"40,449",9,24,09/15/2024
"Apr 24, 2024",461,462.75,457.75,458.25,458.25,"57,642",9,24,09/15/2024
"Apr 23, 2024",457.5,461.75,457,461,461,"32,215",9,24,09/15/2024
"Apr 22, 2024",449.5,459.25,448.25,458,458,"30,953",9,24,09/15/2024
"Apr 19, 2024",445.25,451.75,444.75,451.25,451.25,"32,554",9,24,09/15/2024
"Apr 18, 2024",449.25,449.5,444.5,445,445,"24,786",9,24,09/15/2024
"Apr 17, 2024",451.75,453.25,449.5,449.75,449.75,"37,055",9,24,09/15/2024
"Apr 16, 2024",453.75,454.25,449.5,451.75,451.75,"27,967",9,24,09/15/2024
"Apr 15, 2024",455.75,456.25,451.75,453.75,453.75,"21,233",9,24,09/15/2024
"Apr 12, 2024",450.25,458,449,456.75,456.75,"27,312",9,24,09/15/2024
"Apr 11, 2024",454.5,459,450,450.5,450.5,"45,780",9,24,09/15/2024
"Apr 10, 2024",452,455.5,451.75,454.75,454.75,"52,347",9,24,09/15/2024
"Apr 09, 2024",457,457,450.75,452.25,452.25,"49,683",9,24,09/15/2024
"Apr 08, 2024",456.5,459.25,454.75,457.25,457.25,"43,460",9,24,09/15/2024
"Apr 05, 2024",457.5,462,455.5,457,457,"38,193",9,24,09/15/2024
"Apr 04, 2024",457,459,454.25,458.25,458.25,"42,157",9,24,09/15/2024
"Apr 03, 2024",454.5,457.75,451.5,456.5,456.5,"35,232",9,24,09/15/2024
"Apr 02, 2024",460.75,461.25,451,452.75,452.75,"50,000",9,24,09/15/2024
"Apr 01, 2024",464,464,457.25,460.75,460.75,"37,603",9,24,09/15/2024
"Mar 28, 2024",448.75,468.25,447.5,464.5,464.5,"61,698",9,24,09/15/2024
"Mar 27, 2024",453.75,454,448.5,448.5,448.5,"25,834",9,24,09/15/2024
"Mar 26, 2024",460.5,461.5,453.5,454.25,454.25,"23,955",9,24,09/15/2024
"Mar 25, 2024",461.5,463.5,460.25,461,461,"18,281",9,24,09/15/2024
"Mar 22, 2024",462.5,463.25,458.5,461.75,461.75,"19,635",9,24,09/15/2024
"Mar 21, 2024",461.75,467.25,460.25,463.25,463.25,"23,721",9,24,09/15/2024
"Mar 20, 2024",459.75,462.25,457.75,461.5,461.5,"19,511",9,24,09/15/2024
"Mar 19, 2024",458,461.75,457.25,461,461,"20,928",9,24,09/15/2024
"Mar 18, 2024",458,461,455.5,458,458,"19,510",9,24,09/15/2024
"Mar 15, 2024",455,460.25,453,458,458,"23,349",9,24,09/15/2024
"Mar 14, 2024",460.25,462.5,454.25,455.25,455.25,"34,454",9,24,09/15/2024
"Mar 13, 2024",460.25,462.75,457.25,461,461,"27,986",9,24,09/15/2024
"Mar 12, 2024",461,463.5,457.5,460.5,460.5,"19,216",9,24,09/15/2024
"Mar 11, 2024",456.5,461.5,453.75,460.5,460.5,"26,031",9,24,09/15/2024
"Mar 08, 2024",456.25,459.5,451.5,459.25,459.25,"30,482",9,24,09/15/2024
"Mar 07, 2024",448,456.75,447.25,456.5,456.5,"34,195",9,24,09/15/2024
"Mar 06, 2024",445.75,448.25,444.25,448,448,"22,043",9,24,09/15/2024
"Mar 05, 2024",449.75,450.25,445,446.25,446.25,"18,088",9,24,09/15/2024
"Mar 04, 2024",444.25,452,443.5,450.25,450.25,"24,252",9,24,09/15/2024
"Mar 01, 2024",449.75,451.75,442.75,445.25,445.25,"24,849",9,24,09/15/2024
"Feb 29, 2024",450.75,452.5,445.75,450.25,450.25,"21,782",9,24,09/15/2024
"Feb 28, 2024",446.5,451.25,444.75,450,450,"16,183",9,24,09/15/2024
"Feb 27, 2024",442.75,448.75,442.5,446.5,446.5,"30,266",9,24,09/15/2024
"Feb 26, 2024",435.5,443.75,432,443.25,443.25,"26,605",9,24,09/15/2024
"Feb 23, 2024",439.5,442.75,433.25,435.25,435.25,"28,245",9,24,09/15/2024
"Feb 22, 2024",442.5,448,438,439.75,439.75,"32,277",9,24,09/15/2024
"Feb 21, 2024",450,451,442.5,443.75,443.75,"26,616",9,24,09/15/2024
"Feb 20, 2024",445.5,451.5,445.5,450.75,450.75,"17,293",9,24,09/15/2024
"Feb 16, 2024",445.25,448.5,444.25,447,447,"29,115",9,24,09/15/2024
"Feb 15, 2024",453,453.5,445,445.5,445.5,"24,725",9,24,09/15/2024
"Feb 14, 2024",458.5,459,451.5,453.25,453.25,"19,257",9,24,09/15/2024
"Feb 13, 2024",458.5,461.25,457,458.75,458.75,"13,756",9,24,09/15/2024
"Feb 12, 2024",458,460.75,457.5,458.75,458.75,"12,450",9,24,09/15/2024
"Feb 09, 2024",463,463.75,457,457.75,457.75,"22,171",9,24,09/15/2024
"Feb 08, 2024",463.25,464.5,458.5,461.75,461.75,"18,678",9,24,09/15/2024
