Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 17, 2024",457.25,460.5,451,452.5,452.5,"200,532",6,24,07/15/2024
"May 16, 2024",462.25,465.25,456,457,457,"200,532",6,24,07/15/2024
"May 15, 2024",467.75,473.25,461.5,462.5,462.5,"222,335",6,24,07/15/2024
"May 14, 2024",471.75,475.5,466.5,467.5,467.5,"246,243",6,24,07/15/2024
"May 13, 2024",468,475.5,465.5,472.5,472.5,"269,735",6,24,07/15/2024
"May 10, 2024",457,470,456.75,469.75,469.75,"245,388",6,24,07/15/2024
"May 09, 2024",458.5,462,454.25,456.5,456.5,"184,154",6,24,07/15/2024
"May 08, 2024",467,467,457.5,458.5,458.5,"221,307",6,24,07/15/2024
"May 07, 2024",468.5,472,466,467,467,"208,392",6,24,07/15/2024
"May 06, 2024",459,470,454.25,469,469,"248,355",6,24,07/15/2024
"May 03, 2024",459.5,468,457.25,460.25,460.25,"303,314",6,24,07/15/2024
"May 02, 2024",450,460.5,449.75,459.75,459.75,"240,171",6,24,07/15/2024
"May 01, 2024",446.75,451.5,443.75,450.75,450.75,"151,383",6,24,07/15/2024
"Apr 30, 2024",449,450,444.5,446.75,446.75,"149,008",6,24,07/15/2024
"Apr 29, 2024",450,451.25,445.5,449.25,449.25,"211,471",6,24,07/15/2024
"Apr 26, 2024",451.75,454,449.25,450,450,"225,497",6,24,07/15/2024
"Apr 25, 2024",448.5,453.25,446.5,452,452,"235,154",6,24,07/15/2024
"Apr 24, 2024",452.25,454.25,448,448.5,448.5,"228,268",6,24,07/15/2024
"Apr 23, 2024",449.5,453.25,448.25,452.5,452.5,"173,811",6,24,07/15/2024
"Apr 22, 2024",441.5,451.25,439.75,449.75,449.75,"202,243",6,24,07/15/2024
"Apr 19, 2024",436.75,443.5,436,443,443,"152,758",6,24,07/15/2024
"Apr 18, 2024",440,441,435.75,436.25,436.25,"168,928",6,24,07/15/2024
"Apr 17, 2024",442.75,444.25,440.75,441,441,"122,102",6,24,07/15/2024
"Apr 16, 2024",444,445.25,440.25,442.75,442.75,"122,877",6,24,07/15/2024
"Apr 15, 2024",446,447,442.25,444.25,444.25,"103,077",6,24,07/15/2024
"Apr 12, 2024",441,449.25,439.5,447.25,447.25,"121,697",6,24,07/15/2024
"Apr 11, 2024",445.5,449.5,440,441,441,"189,338",6,24,07/15/2024
"Apr 10, 2024",442,446.75,442,445.75,445.75,"176,851",6,24,07/15/2024
"Apr 09, 2024",447.25,447.5,441,442.5,442.5,"172,979",6,24,07/15/2024
"Apr 08, 2024",446,449.25,443.75,447.5,447.5,"177,641",6,24,07/15/2024
"Apr 05, 2024",447.25,451,445,446.75,446.75,"141,718",6,24,07/15/2024
"Apr 04, 2024",445.5,448.25,442.5,447.5,447.5,"97,859",6,24,07/15/2024
"Apr 03, 2024",442.25,446.5,439.75,445,445,"109,702",6,24,07/15/2024
"Apr 02, 2024",449.5,450.25,439.25,441,441,"147,589",6,24,07/15/2024
"Apr 01, 2024",454.5,454.5,446,449.25,449.25,"105,532",6,24,07/15/2024
"Mar 28, 2024",439.25,460,438.5,454.5,454.5,"183,709",6,24,07/15/2024
"Mar 27, 2024",445,445,438.75,439.25,439.25,"88,530",6,24,07/15/2024
"Mar 26, 2024",450.5,453,444.5,445,445,"81,267",6,24,07/15/2024
"Mar 25, 2024",451.5,454,450.25,451.25,451.25,"60,164",6,24,07/15/2024
"Mar 22, 2024",453.25,454.25,448.75,452,452,"61,303",6,24,07/15/2024
"Mar 21, 2024",452.25,458.75,450.75,454,454,"67,959",6,24,07/15/2024
"Mar 20, 2024",451.5,453,448.75,452.25,452.25,"68,933",6,24,07/15/2024
"Mar 19, 2024",449.25,452.75,447.5,452.25,452.25,"57,764",6,24,07/15/2024
"Mar 18, 2024",449.25,452.5,446.25,448.75,448.75,"59,454",6,24,07/15/2024
"Mar 15, 2024",446.25,451.75,444,449,449,"69,638",6,24,07/15/2024
"Mar 14, 2024",453.25,454.5,445.5,446.25,446.25,"86,793",6,24,07/15/2024
"Mar 13, 2024",453.5,456.5,450.25,453.5,453.5,"76,258",6,24,07/15/2024
"Mar 12, 2024",453.25,457,450.5,453.75,453.75,"72,781",6,24,07/15/2024
"Mar 11, 2024",450.25,455,445.5,453.75,453.75,"75,855",6,24,07/15/2024
"Mar 08, 2024",448.75,452,443,451.75,451.75,"112,630",6,24,07/15/2024
"Mar 07, 2024",440,449.75,439.5,449.5,449.5,"103,974",6,24,07/15/2024
"Mar 06, 2024",437.5,440.5,435,440,440,"60,224",6,24,07/15/2024
"Mar 05, 2024",441,441.75,436.25,437.5,437.5,"69,276",6,24,07/15/2024
"Mar 04, 2024",435.25,444.25,435,441.25,441.25,"70,167",6,24,07/15/2024
"Mar 01, 2024",441.25,443,433.75,436.25,436.25,"77,041",6,24,07/15/2024
"Feb 29, 2024",440.75,443.25,435.75,441.25,441.25,"63,838",6,24,07/15/2024
"Feb 28, 2024",436,442,434.25,440.25,440.25,"63,638",6,24,07/15/2024
"Feb 27, 2024",433.25,439.25,433.25,436,436,"70,474",6,24,07/15/2024
"Feb 26, 2024",426.25,434.75,422.25,433.75,433.75,"103,125",6,24,07/15/2024
"Feb 23, 2024",431.25,434,424.25,426.25,426.25,"81,425",6,24,07/15/2024
"Feb 22, 2024",434.5,440.25,429,430.75,430.75,"89,110",6,24,07/15/2024
"Feb 21, 2024",443,443.5,434.5,435.75,435.75,"61,667",6,24,07/15/2024
"Feb 20, 2024",439.5,444.75,438.5,443.25,443.25,"50,972",6,24,07/15/2024
"Feb 16, 2024",439.75,443,438.75,440.25,440.25,"67,211",6,24,07/15/2024
"Feb 15, 2024",447.25,447.75,439.25,439.75,439.75,"57,436",6,24,07/15/2024
"Feb 14, 2024",452.5,453,445.25,447.25,447.25,"61,007",6,24,07/15/2024
"Feb 13, 2024",452,455.25,451,452.5,452.5,"38,792",6,24,07/15/2024
"Feb 12, 2024",451,454,450.25,452.25,452.25,"36,102",6,24,07/15/2024
"Feb 09, 2024",454.25,456.75,449.75,450.75,450.75,"50,705",6,24,07/15/2024
"Feb 08, 2024",455.5,457,450,454,454,"60,942",6,24,07/15/2024
"Feb 07, 2024",460.5,460.5,454.75,455.5,455.5,"92,667",6,24,07/15/2024
"Feb 06, 2024",462,464.75,460,460.5,460.5,"58,213",6,24,07/15/2024
"Feb 05, 2024",462,464.25,460,462,462,"37,978",6,24,07/15/2024
"Feb 02, 2024",465,467,461.25,462.5,462.5,"34,382",6,24,07/15/2024
"Feb 01, 2024",466.5,466.75,462.25,466,466,"51,536",6,24,07/15/2024
"Jan 31, 2024",467,467.25,462.75,466.5,466.5,"30,907",6,24,07/15/2024
