Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 29, 2024",501,502.25,499.75,501.75,501.75,18,3,26,03/15/2026
"May 28, 2024",505.75,507,500.25,501.25,501.25,18,3,26,03/15/2026
"May 27, 2024",-,-,-,-,-,-,3,26,03/15/2026
"May 24, 2024",502.75,504,502.75,503.75,503.75,6,3,26,03/15/2026
"May 23, 2024",501.75,503.5,501.75,501.75,501.75,25,3,26,03/15/2026
"May 22, 2024",500.75,502.5,500.5,500.75,500.75,24,3,26,03/15/2026
"May 21, 2024",499.75,501,499.25,500.75,500.75,18,3,26,03/15/2026
"May 20, 2024",497,502.25,497,501.5,501.5,49,3,26,03/15/2026
"May 17, 2024",501,502.75,497.5,497.5,497.5,22,3,26,03/15/2026
"May 16, 2024",504.5,505.25,500.5,500.75,500.75,17,3,26,03/15/2026
"May 15, 2024",507.75,509,502.75,504.5,504.5,100,3,26,03/15/2026
"May 14, 2024",508,508.5,506.75,506.75,506.75,35,3,26,03/15/2026
"May 13, 2024",506.75,508.75,505,506.5,506.5,53,3,26,03/15/2026
"May 10, 2024",503,508,503,508,508,103,3,26,03/15/2026
"May 09, 2024",503,503.25,503,503.25,503.25,22,3,26,03/15/2026
"May 08, 2024",507,507,502.25,503.25,503.25,89,3,26,03/15/2026
"May 07, 2024",507,507.75,506.25,507.25,507.25,62,3,26,03/15/2026
"May 06, 2024",507.25,508,506.5,506.75,506.75,101,3,26,03/15/2026
"May 03, 2024",500.5,505.25,500.5,504.25,504.25,140,3,26,03/15/2026
"May 02, 2024",496.5,501.75,496.25,501.25,501.25,272,3,26,03/15/2026
"May 01, 2024",494.5,496,494.25,496,496,14,3,26,03/15/2026
"Apr 30, 2024",492.75,494.5,492.75,494.25,494.25,13,3,26,03/15/2026
"Apr 29, 2024",497,497.5,495.25,496,496,40,3,26,03/15/2026
"Apr 26, 2024",497.5,498.75,496.5,497.25,497.25,93,3,26,03/15/2026
"Apr 25, 2024",495,498.5,493.25,498.5,498.5,32,3,26,03/15/2026
"Apr 24, 2024",498.5,498.5,495.75,495.75,495.75,8,3,26,03/15/2026
"Apr 23, 2024",495.5,499.25,495.5,497.25,497.25,20,3,26,03/15/2026
"Apr 22, 2024",493.5,498.25,493.5,498.25,498.25,6,3,26,03/15/2026
"Apr 19, 2024",490,493.5,490,493.5,493.5,60,3,26,03/15/2026
"Apr 18, 2024",490.25,491,489.5,489.5,489.5,11,3,26,03/15/2026
"Apr 17, 2024",494.5,495,494.25,494.25,494.25,8,3,26,03/15/2026
"Apr 16, 2024",496.5,496.5,496.5,496.5,496.5,26,3,26,03/15/2026
"Apr 15, 2024",498,498,498,498,498,-,3,26,03/15/2026
"Apr 12, 2024",500,501,498,499.75,499.75,13,3,26,03/15/2026
"Apr 11, 2024",497.5,500,497,497,497,45,3,26,03/15/2026
"Apr 10, 2024",497,497.25,495.75,497.25,497.25,26,3,26,03/15/2026
"Apr 09, 2024",497.75,498,495.5,495.5,495.5,51,3,26,03/15/2026
"Apr 08, 2024",500,501,500,500.25,500.25,14,3,26,03/15/2026
"Apr 05, 2024",500,500,499.25,499.25,499.25,10,3,26,03/15/2026
"Apr 04, 2024",498,499,498,498.5,498.5,35,3,26,03/15/2026
"Apr 03, 2024",497.25,498,497.25,498,498,4,3,26,03/15/2026
"Apr 02, 2024",496,496,496,496,496,3,3,26,03/15/2026
"Apr 01, 2024",497,498.25,494.5,498.25,498.25,23,3,26,03/15/2026
"Mar 28, 2024",486.5,500,486.5,498.75,498.75,44,3,26,03/15/2026
"Mar 27, 2024",489.75,490,488.5,488.5,488.5,20,3,26,03/15/2026
"Mar 26, 2024",497.75,497.75,493,493,493,13,3,26,03/15/2026
"Mar 25, 2024",500,500,498.25,498.25,498.25,28,3,26,03/15/2026
"Mar 22, 2024",496.25,498.5,496.25,498.5,498.5,5,3,26,03/15/2026
"Mar 21, 2024",499,500,497.25,499.5,499.5,31,3,26,03/15/2026
"Mar 20, 2024",494.75,497.5,494,497.5,497.5,7,3,26,03/15/2026
"Mar 19, 2024",494.75,494.75,494.75,494.75,494.75,-,3,26,03/15/2026
"Mar 18, 2024",492.5,493.5,492.5,493.5,493.5,5,3,26,03/15/2026
"Mar 15, 2024",493.5,493.5,493.5,493.5,493.5,-,3,26,03/15/2026
"Mar 14, 2024",495,495,491.25,491.25,491.25,8,3,26,03/15/2026
"Mar 13, 2024",491.5,493.25,491.5,493.25,493.25,1,3,26,03/15/2026
"Mar 12, 2024",492.5,494.25,492.5,492.75,492.75,67,3,26,03/15/2026
"Mar 11, 2024",493,493,493,493,493,-,3,26,03/15/2026
"Mar 08, 2024",490,492.5,488,492.5,492.5,37,3,26,03/15/2026
"Mar 07, 2024",488,489.75,488,489.75,489.75,79,3,26,03/15/2026
"Mar 06, 2024",480.75,484,480.75,483.25,483.25,4,3,26,03/15/2026
"Mar 05, 2024",482.5,482.5,482.5,482.5,482.5,-,3,26,03/15/2026
"Mar 04, 2024",482,486,482,486,486,50,3,26,03/15/2026
"Mar 01, 2024",483.25,483.25,483.25,483.25,483.25,1,3,26,03/15/2026
"Feb 29, 2024",484.75,484.75,484.75,484.75,484.75,-,3,26,03/15/2026
"Feb 28, 2024",483.75,483.75,483.75,483.75,483.75,-,3,26,03/15/2026
"Feb 27, 2024",481.5,481.5,481.5,481.5,481.5,-,3,26,03/15/2026
"Feb 26, 2024",476,481.25,476,481.25,481.25,1,3,26,03/15/2026
"Feb 23, 2024",482.25,482.25,477,478,478,52,3,26,03/15/2026
"Feb 22, 2024",481.5,482,481.5,482,482,2,3,26,03/15/2026
"Feb 21, 2024",484,485.25,484,484.25,484.25,25,3,26,03/15/2026
"Feb 20, 2024",484.75,488.25,484.25,488,488,4,3,26,03/15/2026
"Feb 16, 2024",484,486.25,483.5,486.25,486.25,51,3,26,03/15/2026
"Feb 15, 2024",485.25,487.25,484,484,484,51,3,26,03/15/2026
"Feb 14, 2024",490,490,489,489,489,5,3,26,03/15/2026
"Feb 13, 2024",493,494.25,493,494.25,494.25,1,3,26,03/15/2026
"Feb 12, 2024",492,492.75,492,492.75,492.75,6,3,26,03/15/2026
"Feb 09, 2024",493.25,493.25,489,490.25,490.25,20,3,26,03/15/2026
"Feb 08, 2024",492.25,492.25,490.25,492.25,492.25,22,3,26,03/15/2026
"Feb 07, 2024",493,493.5,493,493.25,493.25,15,3,26,03/15/2026
"Feb 06, 2024",497,497,495.75,496,496,8,3,26,03/15/2026
"Feb 05, 2024",495,496,495,496,496,2,3,26,03/15/2026
"Feb 02, 2024",493.5,496.5,493.5,495.25,495.25,50,3,26,03/15/2026
"Feb 01, 2024",496.25,496.25,495.75,495.75,495.75,9,3,26,03/15/2026
"Jan 31, 2024",497,497,497,497,497,-,3,26,03/15/2026
"Jan 30, 2024",495.5,496.75,495.5,496.75,496.75,3,3,26,03/15/2026
"Jan 29, 2024",494,494,494,494,494,92,3,26,03/15/2026
"Jan 26, 2024",492.25,492.25,492.25,492.25,492.25,-,3,26,03/15/2026
"Jan 25, 2024",492.25,494.75,492,494.75,494.75,7,3,26,03/15/2026
"Jan 24, 2024",492.5,496.25,492.5,496.25,496.25,18,3,26,03/15/2026
"Jan 23, 2024",491.5,491.5,491.5,491.5,491.5,-,3,26,03/15/2026
"Jan 22, 2024",490.5,490.75,490.5,490.75,490.75,1,3,26,03/15/2026
"Jan 19, 2024",489.25,489.25,489.25,489.25,489.25,-,3,26,03/15/2026
"Jan 18, 2024",491.25,491.25,490.25,490.25,490.25,18,3,26,03/15/2026
"Jan 17, 2024",490,495.5,490,492,492,46,3,26,03/15/2026
"Jan 16, 2024",492.25,492.25,490.25,491.5,491.5,17,3,26,03/15/2026
"Jan 12, 2024",498.5,498.5,495,496.25,496.25,11,3,26,03/15/2026
"Jan 11, 2024",498.5,500.5,498.25,500.5,500.5,15,3,26,03/15/2026
"Jan 10, 2024",502.25,502.25,502.25,502.25,502.25,-,3,26,03/15/2026
"Jan 09, 2024",502.75,502.75,502.75,502.75,502.75,-,3,26,03/15/2026
"Jan 08, 2024",500,500,496.25,498.75,498.75,10,3,26,03/15/2026
"Jan 05, 2024",500,500.75,500,500.75,500.75,8,3,26,03/15/2026
"Jan 04, 2024",502.75,504.25,502.75,504,504,3,3,26,03/15/2026
"Jan 03, 2024",503,503.75,503,503.75,503.75,5,3,26,03/15/2026
"Jan 02, 2024",504,504,502,503.75,503.75,30,3,26,03/15/2026
"Dec 29, 2023",514.25,514.25,514.25,514.25,514.25,-,3,26,03/15/2026
"Dec 28, 2023",514.5,514.5,514.5,514.5,514.5,-,3,26,03/15/2026
"Dec 27, 2023",516,516,516,516,516,-,3,26,03/15/2026
"Dec 26, 2023",518.25,518.25,518.25,518.25,518.25,-,3,26,03/15/2026
"Dec 22, 2023",514.75,514.75,514.75,514.75,514.75,-,3,26,03/15/2026
"Dec 21, 2023",509.75,513.75,509.75,513.75,513.75,1,3,26,03/15/2026
"Dec 20, 2023",513.75,513.75,513.75,513.75,513.75,1,3,26,03/15/2026
"Dec 19, 2023",514,514,514,514,514,-,3,26,03/15/2026
"Dec 18, 2023",520.5,520.5,520.5,520.5,520.5,-,3,26,03/15/2026
