Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 17, 2024",482,485.25,476.25,476.5,476.5,"89,188",12,24,12/15/2024
"May 16, 2024",486.5,489.5,480.5,481.75,481.75,"89,188",12,24,12/15/2024
"May 15, 2024",491,496.75,486,487,487,"125,182",12,24,12/15/2024
"May 14, 2024",492,496.25,490.25,491,491,"140,713",12,24,12/15/2024
"May 13, 2024",490,495.5,486.75,493,493,"140,799",12,24,12/15/2024
"May 10, 2024",480.25,492,480.25,492,492,"121,576",12,24,12/15/2024
"May 09, 2024",480.5,485,477.5,480,480,"87,457",12,24,12/15/2024
"May 08, 2024",488.25,488.5,480.25,481.25,481.25,"91,357",12,24,12/15/2024
"May 07, 2024",488.5,491.25,486,488.5,488.5,"105,088",12,24,12/15/2024
"May 06, 2024",481.75,489.5,477,488.5,488.5,"103,457",12,24,12/15/2024
"May 03, 2024",479.25,486.25,478.75,482.75,482.75,"126,497",12,24,12/15/2024
"May 02, 2024",471.5,480.5,471.5,479.5,479.5,"81,552",12,24,12/15/2024
"May 01, 2024",469.25,473.5,466,472.75,472.75,"56,196",12,24,12/15/2024
"Apr 30, 2024",471.75,473.5,467.5,469.5,469.5,"60,281",12,24,12/15/2024
"Apr 29, 2024",473.25,474.5,469.25,472.75,472.75,"41,939",12,24,12/15/2024
"Apr 26, 2024",475.5,477.25,473,473.5,473.5,"56,485",12,24,12/15/2024
"Apr 25, 2024",472,476.75,470.75,476.25,476.25,"61,089",12,24,12/15/2024
"Apr 24, 2024",474.75,477,471.75,472.75,472.75,"71,591",12,24,12/15/2024
"Apr 23, 2024",472,475.5,471.75,474.75,474.75,"47,643",12,24,12/15/2024
"Apr 22, 2024",464.75,473.75,463.5,472.5,472.5,"48,810",12,24,12/15/2024
"Apr 19, 2024",460.25,466.75,459.5,466.25,466.25,"49,656",12,24,12/15/2024
"Apr 18, 2024",464,464.5,459.5,460,460,"46,062",12,24,12/15/2024
"Apr 17, 2024",467,468.5,464.25,464.75,464.75,"40,749",12,24,12/15/2024
"Apr 16, 2024",469.25,470,465.5,467.25,467.25,"39,488",12,24,12/15/2024
"Apr 15, 2024",471,471.5,466.75,469.25,469.25,"33,972",12,24,12/15/2024
"Apr 12, 2024",466,473.25,464.25,472,472,"45,501",12,24,12/15/2024
"Apr 11, 2024",470,474.25,465.25,466,466,"57,842",12,24,12/15/2024
"Apr 10, 2024",468.25,470.75,467.75,470.25,470.25,"49,747",12,24,12/15/2024
"Apr 09, 2024",473,473,466.75,468.25,468.25,"55,276",12,24,12/15/2024
"Apr 08, 2024",471.25,474.75,469.75,473,473,"37,948",12,24,12/15/2024
"Apr 05, 2024",473,476.5,470.75,472.5,472.5,"44,319",12,24,12/15/2024
"Apr 04, 2024",471.25,473.75,469,473.25,473.25,"43,207",12,24,12/15/2024
"Apr 03, 2024",468.75,472.25,466.5,471.25,471.25,"47,415",12,24,12/15/2024
"Apr 02, 2024",474.5,475.5,466,468,468,"72,136",12,24,12/15/2024
"Apr 01, 2024",477.5,477.5,471.5,474.75,474.75,"54,752",12,24,12/15/2024
"Mar 28, 2024",462.25,481,460.75,477.75,477.75,"116,544",12,24,12/15/2024
"Mar 27, 2024",467.75,468,462,462.25,462.25,"40,512",12,24,12/15/2024
"Mar 26, 2024",474,474.75,467.5,468,468,"26,228",12,24,12/15/2024
"Mar 25, 2024",474.75,477.25,473.75,474.75,474.75,"24,251",12,24,12/15/2024
"Mar 22, 2024",475.75,476.5,471.75,475.25,475.25,"23,864",12,24,12/15/2024
"Mar 21, 2024",474.75,480,473.5,476.75,476.75,"41,081",12,24,12/15/2024
"Mar 20, 2024",472.5,475.5,470.75,474.75,474.75,"35,483",12,24,12/15/2024
"Mar 19, 2024",470.75,474,469.75,473.25,473.25,"31,457",12,24,12/15/2024
"Mar 18, 2024",470.75,473.5,468.25,470.75,470.75,"26,223",12,24,12/15/2024
"Mar 15, 2024",467.75,472.75,465.5,470.75,470.75,"34,747",12,24,12/15/2024
"Mar 14, 2024",472.25,475,467,467.75,467.75,"51,868",12,24,12/15/2024
"Mar 13, 2024",472,474.5,469.25,473,473,"39,532",12,24,12/15/2024
"Mar 12, 2024",472.75,475.25,469.75,472.75,472.75,"32,290",12,24,12/15/2024
"Mar 11, 2024",470.75,473.75,466.5,472.75,472.75,"36,680",12,24,12/15/2024
"Mar 08, 2024",468,472,464.75,472,472,"50,198",12,24,12/15/2024
"Mar 07, 2024",461,469,460.25,469,469,"62,833",12,24,12/15/2024
"Mar 06, 2024",459,461.5,457.5,461,461,"35,470",12,24,12/15/2024
"Mar 05, 2024",462.75,463.25,458,459.25,459.25,"34,392",12,24,12/15/2024
"Mar 04, 2024",457,465,457,463,463,"37,054",12,24,12/15/2024
"Mar 01, 2024",462.5,465,456.5,459.25,459.25,"38,865",12,24,12/15/2024
"Feb 29, 2024",463.25,465.25,458.75,463.25,463.25,"28,598",12,24,12/15/2024
"Feb 28, 2024",460,464.5,458.5,463.25,463.25,"25,120",12,24,12/15/2024
"Feb 27, 2024",456,462.5,455.75,460,460,"39,467",12,24,12/15/2024
"Feb 26, 2024",450,457.75,446,457,457,"39,572",12,24,12/15/2024
"Feb 23, 2024",453,456.75,447.25,449.5,449.5,"44,780",12,24,12/15/2024
"Feb 22, 2024",456.5,461,451.25,453.25,453.25,"42,577",12,24,12/15/2024
"Feb 21, 2024",462,463.25,456,457.25,457.25,"38,317",12,24,12/15/2024
