Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"May 17, 2024",502,505.25,497,497.75,497.75,"2,662",5,25,05/15/2025
"May 16, 2024",506.75,508.75,501.25,502.5,502.5,"3,286",5,25,05/15/2025
"May 15, 2024",510.5,515.25,505.75,506.75,506.75,"5,456",5,25,05/15/2025
"May 14, 2024",510.5,514.5,509.75,510.5,510.5,"3,551",5,25,05/15/2025
"May 13, 2024",509,513.5,506,511.5,511.5,"3,651",5,25,05/15/2025
"May 10, 2024",501.75,510.5,501.75,510.5,510.5,"5,046",5,25,05/15/2025
"May 09, 2024",502.25,505.75,499.5,501.25,501.25,"2,870",5,25,05/15/2025
"May 08, 2024",507.75,508.25,501.25,502.25,502.25,"4,204",5,25,05/15/2025
"May 07, 2024",507,509.75,505.25,508,508,"4,184",5,25,05/15/2025
"May 06, 2024",502.75,508.25,498.25,507.5,507.5,"4,358",5,25,05/15/2025
"May 03, 2024",499.5,506,499.25,503.5,503.5,"6,009",5,25,05/15/2025
"May 02, 2024",493.75,500.75,493.5,500.5,500.5,"4,046",5,25,05/15/2025
"May 01, 2024",492,495.5,488.5,495,495,"1,808",5,25,05/15/2025
"Apr 30, 2024",493.75,496,490.5,492.5,492.5,"2,361",5,25,05/15/2025
"Apr 29, 2024",495.25,496,491.75,495,495,"2,776",5,25,05/15/2025
"Apr 26, 2024",497.75,498.75,495,495.75,495.75,"2,649",5,25,05/15/2025
"Apr 25, 2024",494,498.75,492.75,498.75,498.75,"4,127",5,25,05/15/2025
"Apr 24, 2024",494,496.5,492.75,494.5,494.5,"4,106",5,25,05/15/2025
"Apr 23, 2024",492.25,495.25,492,494.5,494.5,"2,999",5,25,05/15/2025
"Apr 22, 2024",485.5,493.5,483.75,492.75,492.75,"1,844",5,25,05/15/2025
"Apr 19, 2024",480.5,487,480.25,486.75,486.75,"1,537",5,25,05/15/2025
"Apr 18, 2024",484.75,484.75,480,480.75,480.75,803,5,25,05/15/2025
"Apr 17, 2024",487,488.75,485,485.5,485.5,"1,272",5,25,05/15/2025
"Apr 16, 2024",489.25,490.5,486.5,487.75,487.75,"1,353",5,25,05/15/2025
"Apr 15, 2024",491.5,491.5,488,490.25,490.25,888,5,25,05/15/2025
"Apr 12, 2024",486.5,493.5,486.5,492.5,492.5,"1,430",5,25,05/15/2025
"Apr 11, 2024",489,493,486.25,487,487,"3,276",5,25,05/15/2025
"Apr 10, 2024",487.75,490,487.5,490,490,"1,884",5,25,05/15/2025
"Apr 09, 2024",493,493,487,488.5,488.5,"2,041",5,25,05/15/2025
"Apr 08, 2024",490.75,494,489.5,493.25,493.25,"2,057",5,25,05/15/2025
"Apr 05, 2024",492,495,490,492.25,492.25,"1,807",5,25,05/15/2025
"Apr 04, 2024",491.25,492.25,488.5,491.75,491.75,"1,051",5,25,05/15/2025
"Apr 03, 2024",488.5,491.25,486.75,490.5,490.5,"1,413",5,25,05/15/2025
"Apr 02, 2024",492.75,493.25,485.5,488,488,"2,021",5,25,05/15/2025
"Apr 01, 2024",493.75,494.75,490.5,493.25,493.25,"1,172",5,25,05/15/2025
"Mar 28, 2024",482,498.5,480.5,495.75,495.75,"3,774",5,25,05/15/2025
"Mar 27, 2024",487.5,487.75,482.25,482.75,482.75,739,5,25,05/15/2025
"Mar 26, 2024",494,495,487.75,488.5,488.5,914,5,25,05/15/2025
"Mar 25, 2024",494.75,497.75,494,495.25,495.25,993,5,25,05/15/2025
"Mar 22, 2024",496,496.75,492.5,495.75,495.75,390,5,25,05/15/2025
"Mar 21, 2024",495.25,500,494.5,497.25,497.25,"1,529",5,25,05/15/2025
"Mar 20, 2024",492.25,496.25,492,495.75,495.75,"1,774",5,25,05/15/2025
"Mar 19, 2024",490,493.25,489.5,493,493,970,5,25,05/15/2025
"Mar 18, 2024",490,491.75,487.25,490,490,939,5,25,05/15/2025
"Mar 15, 2024",487,491.25,484.75,490,490,"1,014",5,25,05/15/2025
"Mar 14, 2024",490.75,494,486,486.75,486.75,"1,354",5,25,05/15/2025
"Mar 13, 2024",490.75,493.5,488,492,492,"1,645",5,25,05/15/2025
"Mar 12, 2024",491.25,494,488,491.5,491.5,"1,040",5,25,05/15/2025
"Mar 11, 2024",488.5,492.25,485,491.5,491.5,"1,141",5,25,05/15/2025
"Mar 08, 2024",486,490.25,484,490.25,490.25,"1,095",5,25,05/15/2025
"Mar 07, 2024",480.25,487.5,479.75,487.5,487.5,752,5,25,05/15/2025
"Mar 06, 2024",479.5,481.25,477.75,480.5,480.5,"1,123",5,25,05/15/2025
"Mar 05, 2024",483,483.25,478.5,479.75,479.75,717,5,25,05/15/2025
"Mar 04, 2024",478,484.75,477.75,483.25,483.25,936,5,25,05/15/2025
"Mar 01, 2024",480.75,482.25,476,479.75,479.75,"1,308",5,25,05/15/2025
"Feb 29, 2024",482,483.75,478.5,482,482,443,5,25,05/15/2025
"Feb 28, 2024",479.75,483.25,478.25,482,482,608,5,25,05/15/2025
"Feb 27, 2024",476,481.75,476,479.75,479.75,564,5,25,05/15/2025
"Feb 26, 2024",470,477.5,466.75,476.75,476.75,"1,015",5,25,05/15/2025
"Feb 23, 2024",474,477,468.75,470.25,470.25,"1,244",5,25,05/15/2025
"Feb 22, 2024",475,479.5,472.25,474.25,474.25,"1,333",5,25,05/15/2025
"Feb 21, 2024",480.75,480.75,475.5,476.75,476.75,489,5,25,05/15/2025
"Feb 20, 2024",477,481.25,475.75,481,481,223,5,25,05/15/2025
"Feb 16, 2024",473.75,477,473.75,477,477,954,5,25,05/15/2025
"Feb 15, 2024",480.25,481,474,474.5,474.5,912,5,25,05/15/2025
"Feb 14, 2024",486.75,487.25,480,481.75,481.75,277,5,25,05/15/2025
"Feb 13, 2024",486.75,487.75,485.5,487.5,487.5,145,5,25,05/15/2025
"Feb 12, 2024",485.25,488,485.25,487,487,500,5,25,05/15/2025
"Feb 09, 2024",486.75,489.75,484.75,485.5,485.5,124,5,25,05/15/2025
"Feb 08, 2024",490.25,491,487,489.5,489.5,266,5,25,05/15/2025
"Feb 07, 2024",493.75,494.25,489.75,491,491,607,5,25,05/15/2025
"Feb 06, 2024",494,497.5,493.75,494.5,494.5,251,5,25,05/15/2025
"Feb 05, 2024",492.5,494.75,492,494.25,494.25,187,5,25,05/15/2025
"Feb 02, 2024",493.75,494.5,491.5,493.25,493.25,446,5,25,05/15/2025
"Feb 01, 2024",495,495.75,493.5,495.25,495.25,575,5,25,05/15/2025
"Jan 31, 2024",497,497.25,495,497,497,97,5,25,05/15/2025
"Jan 30, 2024",490,497.75,490,497.5,497.5,157,5,25,05/15/2025
"Jan 29, 2024",493,493,488.75,491.5,491.5,314,5,25,05/15/2025
"Jan 26, 2024",493,493.75,492.5,493.25,493.25,82,5,25,05/15/2025
"Jan 25, 2024",498.5,498.75,494,497.5,497.5,96,5,25,05/15/2025
"Jan 24, 2024",494.25,498.75,494.25,498.75,498.75,858,5,25,05/15/2025
"Jan 23, 2024",494.25,494.25,492.5,494.25,494.25,190,5,25,05/15/2025
